 ;hut::HUT                                                 ,    hkcode , winput::Vk              , windows::VIRTUAL_KEY                   , vkcode ,make1code , enigo::Key                              , #[cfg(enigo::Key)] , xkeysym::Keysym                   ,  keysym_code , macos::KeyCode                          , cgcode ,
 Button::Button(1)                                         ,   0x90001 , Vk::MouseLeft           , VK_LBUTTON                             ,  0x01  ,          , Enigo::LButton                          , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 Button::Button(2)                                         ,   0x90002 , Vk::MouseRight          , VK_RBUTTON                             ,  0x02  ,          , Enigo::RButton                          , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 Button::Button(3)                                         ,   0x90003 , Vk::MouseMiddle         , VK_MBUTTON                             ,  0x04  ,          , Enigo::MButton                          , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 Button::Button(4)                                         ,   0x90004 , Vk::MouseX1             , VK_XBUTTON1                            ,  0x05  ,          , Enigo::XButton1                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 Button::Button(5)                                         ,   0x90005 , Vk::MouseX2             , VK_XBUTTON2                            ,  0x06  ,          , Enigo::XButton2                         , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 Consumer::ACBack                                          ,   0xC0224 , Vk::BrowserBack         , VK_BROWSER_BACK                        ,  0xA6  ,   0xE06A , Enigo::BrowserBack                      , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 Consumer::ACBookmarks                                     ,   0xC022A , Vk::BrowserFavorites    , VK_BROWSER_FAVORITES                   ,  0xAB  ,   0xE066 , Enigo::BrowserFavorites                 , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 Consumer::ACForward                                       ,   0xC0225 , Vk::BrowserForward      , VK_BROWSER_FORWARD                     ,  0xA7  ,   0xE069 , Enigo::BrowserForward                   , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 Consumer::ACHome                                          ,   0xC0223 , Vk::BrowserHome         , VK_BROWSER_HOME                        ,  0xAC  ,   0xE032 , Enigo::BrowserHome                      , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
 Consumer::ACRefresh                                       ,   0xC0227 , Vk::BrowserRefresh      , VK_BROWSER_REFRESH                     ,  0xA8  ,   0xE067 , Enigo::BrowserRefresh                   , #[windows]         , todo!(Keysym)                     ,              , todo!(CG)                               ,        ,
